,,,,,,,,,,,,,,,,,,
,Title:,National Imaging Data Collection - Asset count,,,,,,,,,,,,,,,,
,Y63,North East and Yorkshire,NHS North East and North Cumbria ICB,North East & North Cumbria ,RTF,Northumbria Healthcare NHS Foundation Trust,87 ,4 ,7 ,22 ,25 ,5 ,,16 ,,2 ,5 ,1 
,Y63,North East and Yorkshire,NHS North East and North Cumbria ICB,North East & North Cumbria ,RTR,South Tees Hospitals NHS Foundation Trust,114 ,6 ,6 ,45 ,20 ,1 ,6 ,19 ,3 ,1 ,7 ,
,Y63,North East and Yorkshire,NHS North East and North Cumbria ICB,North East & North Cumbria ,RVW,North Tees and Hartlepool NHS Foundation Trust,53 ,2 ,6 ,17 ,15 ,,,10 ,1 ,1 ,1 ,
,Y63,North East and Yorkshire,NHS North East and North Cumbria ICB,North East & North Cumbria ,RXP,County Durham and Darlington NHS Foundation Trust,102 ,3 ,7 ,34 ,17 ,2 ,,10 ,20 ,2 ,6 ,1 
,Y63,North East and Yorkshire,NHS South Yorkshire ICB,South Yorkshire and Bassetlaw ,RCU,Sheffield Children's NHS Foundation Trust,25 ,2 ,1 ,5 ,6 ,,,7 ,1 ,1 ,2 ,
,Y63,North East and Yorkshire,NHS South Yorkshire ICB,South Yorkshire and Bassetlaw ,RFF,Barnsley Hospital NHS Foundation Trust,49 ,3 ,3 ,18 ,8 ,5 ,1 ,6 ,1 ,1 ,3 ,0 
,Y63,North East and Yorkshire,NHS South Yorkshire ICB,South Yorkshire and Bassetlaw ,RFR,The Rotherham NHS Foundation Trust,45 ,2 ,3 ,20 ,7 ,3 ,,4 ,2 ,1 ,3 ,
,Y63,North East and Yorkshire,NHS South Yorkshire ICB,South Yorkshire and Bassetlaw ,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,106 ,7 ,6 ,35 ,23 ,7 ,4 ,17 ,5 ,,2 ,0 
,Y63,North East and Yorkshire,NHS South Yorkshire ICB,South Yorkshire and Bassetlaw ,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,83 ,4 ,4 ,29 ,20 ,4 ,1 ,14 ,1 ,2 ,3 ,1 
,Y63,North East and Yorkshire,NHS West Yorkshire ICB,Yorkshire Imaging Collaborative,RAE,Bradford Teaching Hospitals NHS Foundation Trust,85 ,4 ,5 ,31 ,20 ,10 ,2 ,9 ,2 ,1 ,,1 
,Y63,North East and Yorkshire,NHS West Yorkshire ICB,Yorkshire Imaging Collaborative,RCF,Airedale NHS Foundation Trust,34 ,1 ,2 ,12 ,9 ,1 ,,6 ,,1 ,2 ,
,Y63,North East and Yorkshire,NHS West Yorkshire ICB,Yorkshire Imaging Collaborative,RR8,Leeds Teaching Hospitals NHS Trust,181 ,9 ,9 ,65 ,49 ,12 ,4 ,25 ,6 ,0 ,2 ,
,Y63,North East and Yorkshire,NHS West Yorkshire ICB,Yorkshire Imaging Collaborative,RWY,Calderdale and Huddersfield NHS Foundation Trust,75 ,3 ,4 ,27 ,21 ,2 ,2 ,11 ,1 ,2 ,2 ,
,Y63,North East and Yorkshire,NHS West Yorkshire ICB,Yorkshire Imaging Collaborative,RXF,Mid Yorkshire Teaching NHS Trust,109 ,6 ,8 ,36 ,41 ,3 ,,8 ,,2 ,5 ,
